den_cd     %den_logr_tp%den_logr_ds                                       %den_logr_num%den_logr_bairro                         %den_logr_subbairro                      %den_logr_cep%den_logr_mun                            %den_loc_ref                                                                                                                                                                                                                                                     %den_dt_rec         %tpa_ds                                  
-----------%-----------%--------------------------------------------------%------------%----------------------------------------%----------------------------------------%------------%----------------------------------------%----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------%-------------------%----------------------------------------
        107%R          %SATURNO                                           %833         %V GERAL                                 %                                        %    21241150%RIO DE JANEIRO                          %EM FRENTE AO COLÉGIO REPÚBLICA DO LÍBANO.                                                                                                                                                                                                                       %2002-05-01 14:24:00%POSSE  ILÍCITA DE  ARMAS FOGO           
        108%R          %ARAPONGA (VL JUANIZA)                             %            %ILHA DO GOVERNADOR                      %GALEAO                                  %    21941640%RIO DE JANEIRO                          %ESQUINA COM A RUA GAVIAO.                                                                                                                                                                                                                                       %2002-05-01 14:14:00%ROUBO DE VEÍCULOS AUTOMOTORES           
        122%N.E.       %RUA 40                                            %            %AMARAL                                  %ITAMBI                                  %           0%ITABORAI                                %RUA 40  DO BAIRRO AMARAL , NO  LOTEAMENTO GRANDE RIO, PRÓXIMO A UMA FAZENDA MUITO CONHECIDA COMO FAZENDA DO SEU DOCA. - SUB-BAIRRO CONHECIDO COMO ITAMBI.                                                                                                       %2002-05-01 15:13:00%TRÁFICO DE DROGAS                       
        138%AV         %BENTO RIBEIRO DANTAS                              %            %BONSUCESSO                              %                                        %    21042000%RIO DE JANEIRO                          %PRÓXIMO A FAVELA VILA DO JOÃO                                                                                                                                                                                                                                   %2002-05-01 16:18:00%TRÁFICO DE DROGAS                       
        142%R          %DOUTOR FELICIANO SODRE                            %100         %CENTRO                                  %                                        %    24440440%SAO GONCALO                             %EM FRENTE AO BOB´S                                                                                                                                                                                                                                              %2002-05-01 16:45:00%TRÁFICO DE DROGAS                       
        155%TV         % EVEREST                                          %2751        %INHAUMA                                 %Não Encontrado                          %           0%RIO DE JANEIRO                          %NA TRAVESSA  EVEREST, ESQUINA COM A RUA PIUMBI,  ACESSO PELA  AVENIDA ITAOCA, NUMERO 2751 (DOIS MIL SETECENTOS E CINQUENTA E UM), MAIS PRECISAMENTE ATRAS DO CAMPO DE EVEREST, NO BAIRRO DE INHAUMA.                                                            %2002-05-01 17:37:00%TRÁFICO DE DROGAS                       
        157%R          %ALMEIRIM                                          %            %JD GRAMACHO                             %                                        %    25056140%DUQUE DE CAXIAS                         %PRÓXIMO AO LIXÃO E AO BECO DO SACÍ.                                                                                                                                                                                                                             %2002-05-01 17:48:00%TRÁFICO DE DROGAS                       
        172%PC         %TREZE DE JUNHO                                    %52          %CORDOVIL                                %                                        %    21250300%RIO DE JANEIRO                          %PRÓXIMO A RUA MAJOR CONRADO                                                                                                                                                                                                                                     %2002-05-01 18:54:00%TRÁFICO DE DROGAS                       
        173%R          %VOLTA                                             %            %VL PENHA                                %                                        %    21220000%RIO DE JANEIRO                          %PRÓXIMO AO CARIOCA SHOPPING                                                                                                                                                                                                                                     %2002-05-01 18:57:00%ROUBO DE VEÍCULOS AUTOMOTORES           
        190%R          %SUCURI                                            %95          %M LUZ                                   %                                        %    26220360%NOVA IGUACU                             %EM UM BECO, LOCALIZADO EM UMA VILA DE CASAS, PROXIMO AO CARREFOUR DE NOVA IGUACU. 
                                                                                                                                                                            %2002-05-01 19:57:00%TRÁFICO DE DROGAS                       
        191%R          %FLORIANOPOLIS                                     %            %PC SECA                                 %                                        %    21321050%RIO DE JANEIRO                          %PROXIMO AO BAR BOSQUE DA PRACA.                                                                                                                                                                                                                                 %2002-05-01 20:07:00%ROUBO DE VEÍCULOS AUTOMOTORES           
        222%AV         %AMERICAS, DAS - ATE 01600 - LADO PAR              %990         %B TIJUCA                                %                                        %    22640100%RIO DE JANEIRO                          %                                                                                                                                                                                                                                                                %2002-05-02 00:49:00%POSSE  ILÍCITA DE  ARMAS FOGO           
