bairro;mun;qt_den 
CASTELAR;DUQUE DE CAXIAS;1;
SAO JUDAS TADEU;DUQUE DE CAXIAS;82;
OLINDA;DUQUE DE CAXIAS;1;
DOUTOR LAURIANO;DUQUE DE CAXIAS;14;
PARQUE  DAS MISSOES;DUQUE DE CAXIAS;514;
VILA VITAL;DUQUE DE CAXIAS;16;
PERIQUITOS;DUQUE DE CAXIAS;18;
JARDIM GRAMACHO;DUQUE DE CAXIAS;1435;
SABARA;DUQUE DE CAXIAS;1;
MARINGA;DUQUE DE CAXIAS;5;
PARQUE SAO BONFIM;DUQUE DE CAXIAS;381;
MARIA HELENA;DUQUE DE CAXIAS;6;
MISSOES;DUQUE DE CAXIAS;1;
LEOPOLDINA;DUQUE DE CAXIAS;3;
RIO PETROPOLIS;DUQUE DE CAXIAS;3;
JDGRAMACHO;DUQUE DE CAXIAS;1;
JARDIM ANHANGA;DUQUE DE CAXIAS;456;
IMABARIE;DUQUE DE CAXIAS;4;
BBRANCO;DUQUE DE CAXIAS;1;
FUGUEIRA;DUQUE DE CAXIAS;1;
BELA VISTA;DUQUE DE CAXIAS;4;
PRIMAVERA;DUQUE DE CAXIAS;19;
CORTE REAL;DUQUE DE CAXIAS;1;
PARQUE SAO JOAO;DUQUE DE CAXIAS;30;
SARAIVA;DUQUE DE CAXIAS;1;
SARAPUY;DUQUE DE CAXIAS;1;
SARACARUNA;DUQUE DE CAXIAS;1;
PARQUE CHUMBO;DUQUE DE CAXIAS;1;
BONGABA;DUQUE DE CAXIAS;2;
MUISA;DUQUE DE CAXIAS;3;
PARQUE BOM RETIRO;DUQUE DE CAXIAS;284;
PARQUE DUQUE DE CAXIAS;DUQUE DE CAXIAS;135;
PARADA ANGELICA;DUQUE DE CAXIAS;560;
MARAPICU;DUQUE DE CAXIAS;1;
CENTRO;DUQUE DE CAXIAS;801;
PARQUE  ELDOURADO;DUQUE DE CAXIAS;17;
EDEN;DUQUE DE CAXIAS;4;
VILA OPERARIO;DUQUE DE CAXIAS;1;
SAPE;DUQUE DE CAXIAS;1;
ROSEIRAL;DUQUE DE CAXIAS;1;
JACARE;DUQUE DE CAXIAS;1;
BOM RETIRO;DUQUE DE CAXIAS;13;
CENTANARIO;DUQUE DE CAXIAS;3;
FONSECA;DUQUE DE CAXIAS;85;
DIQUE;DUQUE DE CAXIAS;1;
SANTO ANTONIO;DUQUE DE CAXIAS;122;
PARQUE SAO JOSE;DUQUE DE CAXIAS;15;
SACARUNA;DUQUE DE CAXIAS;2;
CHACARAS MARIA HELENA;DUQUE DE CAXIAS;21;
