bairro;mun;qt_den 
SACOLANDIA;IGUABA GRANDE;1;
CARNAUBAL;CARNAUBAL;1;
CARANDA;CAMPO GRANDE;1;
CENTRO;CAMPO GRANDE;1;
VILA BANDEIRANTES;CAMPO GRANDE;3;
BOSQUE DE SAUDE;VARGEM GRANDE PAULISTA;1;
CENTRO;BOM JARDIM DE MINAS;1;
CAJARANA;ALCOBACA;1;
MEDIANEIRA;FOZ DO IGUACU;1;
CENTRO;FOZ DO IGUACU;1;
QUIRIRIM;TAUBATE;1;
CENTRO;TAUBATE;1;
FATIMA;SUMIDOURO;1;
SOLEDADE;SUMIDOURO;1;
CENTRO;SUMIDOURO;4;
CHACARA;SUMIDOURO;2;
BOA VISTA;SAO GONCALO;469;
LUIS CACADOR;SAO GONCALO;14;
ALDEIA DA PRATA;SAO GONCALO;3;
JARDIM BOM RETIRO;SAO GONCALO;62;
MUTUASSU;SAO GONCALO;1;
ANCANTARA;SAO GONCALO;1;
ITAMBI;SAO GONCALO;1;
IPUCA;SAO GONCALO;1;
CALABOCA;SAO GONCALO;2;
SACRAMENTOS;SAO GONCALO;1274;
ITAINDIBA;SAO GONCALO;1;
MUTUACU;SAO GONCALO;1126;
TRINDAD;SAO GONCALO;1;
SANTA ANITA;SAO GONCALO;45;
CASUCA;SAO GONCALO;1;
FAZENDA DOS MINEIRA;SAO GONCALO;4;
EBENEZER;SAO GONCALO;1;
BALDEADOR;SAO GONCALO;2;
BARERTO;SAO GONCALO;1;
GALO BRANCO;SAO GONCALO;1273;
COLUBANDE;SAO GONCALO;1773;
ARRASTAO;SAO GONCALO;34;
CARAMUJO;SAO GONCALO;8;
CAPOTE;SAO GONCALO;5;
LUIZ CACADOR;SAO GONCALO;57;
MONJOES;SAO GONCALO;1;
ITAIPU;SAO GONCALO;1;
PITA;SAO GONCALO;87;
FAZENDINHA;SAO GONCALO;1;
GEBARA;SAO GONCALO;6;
MARIA PAULA;SAO GONCALO;1662;
PALMEIRAS;SAO GONCALO;51;
MARAMBAI;SAO GONCALO;1;
LAGOINHA;SAO GONCALO;129;
MANGUEIRA;SAO GONCALO;4;
TRIBOBO;SAO GONCALO;3026;
BUACU;SAO GONCALO;4;
FIGUEIRA;SAO GONCALO;1;
LAGOA SECA;SAO GONCALO;1;
LARGO DA IDEIA;SAO GONCALO;5;
MARAMBAIA;SAO GONCALO;227;
NOSSA SENHORA DA PAZ;SAO GONCALO;69;
SRACAMENTO;SAO GONCALO;1;
GUAXIMTIBA;SAO GONCALO;1;
JOKEY;SAO GONCALO;1;
CAIM;SAO GONCALO;1;
EDEM;SAO GONCALO;1;
AREAL;SAO GONCALO;1;
JOCKEY;SAO GONCALO;26;
SANTA ISABEL;SAO GONCALO;2027;
RIODADES;SAO GONCALO;1;
VENDA DA CRUZ;SAO GONCALO;133;
ITAIPAVA;SAO GONCALO;1;
RIO D'OURO;SAO GONCALO;7;
JOCKEI;SAO GONCALO;2;
ANAIA;SAO GONCALO;39;
ANAIA PEQUENA;SAO GONCALO;2;
ILHA DE ITAOCA;SAO GONCALO;388;
CHARITAS;SAO GONCALO;2;
MUTANDO;SAO GONCALO;1;
ALMERINDA;SAO GONCALO;1087;
VARZEA DAS MOCAS;SAO GONCALO;372;
PORTO  NOVO;SAO GONCALO;855;
LARANJAL;SAO GONCALO;1154;
GUAXINDINA;SAO GONCALO;1;
BALDIADOR;SAO GONCALO;1;
TRIBODO;SAO GONCALO;1;
FAZENDA MINEIROS;SAO GONCALO;32;
GUXINDIBA;SAO GONCALO;1;
COLUBANDER;SAO GONCALO;1;
ROSANA;SAO GONCALO;1;
ROSANE;SAO GONCALO;3;
SALGUEIRO;SAO GONCALO;121;
PARAENSE;SAO GONCALO;1;
ELIANA;SAO GONCALO;2;
BADU;SAO GONCALO;1;
ELIANE;SAO GONCALO;30;
MIRIAMBI;SAO GONCALO;366;
SACRQAMENTO;SAO GONCALO;1;
CASTRO;SAO GONCALO;3;
MONDEL;SAO GONCALO;1;
ITAUNA;SAO GONCALO;3828;
SANTA CATARINA;SAO GONCALO;156;
BARRACAO;SAO GONCALO;171;
ENGENHO DO ROCADO;SAO GONCALO;10;
PIAO;SAO GONCALO;47;
BOACU;SAO GONCALO;2264;
RIO D´OURO;SAO GONCALO;1;
ITUBA;SAO GONCALO;1;
BRASILANDIA;SAO GONCALO;261;
IATUANA;SAO GONCALO;1;
PIABAS;SAO GONCALO;1;
CUBANGO;SAO GONCALO;4;
PATRONAPE;SAO GONCALO;1;
BARRO VERMELHO;SAO GONCALO;1484;
COLBANDE;SAO GONCALO;1;
PACHECO;SAO GONCALO;816;
COLUMANDE;SAO GONCALO;1;
CANDOSA;SAO GONCALO;2;
JOCQUEY;SAO GONCALO;1;
CAFUCA;SAO GONCALO;2;
VIRADOURO;SAO GONCALO;1;
NOVA GRECIA;SAO GONCALO;147;
MORRO DO CASTRO;SAO GONCALO;142;
PRAIA DA LUZ;SAO GONCALO;3;
MIRAMBI;SAO GONCALO;1;
PARADA SAO JORGE;SAO GONCALO;9;
MOJOLOS;SAO GONCALO;2;
ENGENHO PEQUENO;SAO GONCALO;359;
CANTAGALO;SAO GONCALO;1;
VALE DO MARAMBAIA;SAO GONCALO;1;
ESTRELA DO NORTE;SAO GONCALO;90;
JEBARA;SAO GONCALO;2;
TRINIDADE;SAO GONCALO;1;
TENENTE JARDIM;SAO GONCALO;268;
AGUA MINERAL;SAO GONCALO;2;
MONJOLO;SAO GONCALO;450;
IPIIBA;SAO GONCALO;16;
ALMEIRINDA;SAO GONCALO;7;
TRINDADE;SAO GONCALO;1829;
PORTO NOVO;SAO GONCALO;28;
SAO GONCALO;SAO GONCALO;2;
CONEGO;SAO GONCALO;1;
RIO DO DOURO;SAO GONCALO;1278;
ITABORAI;SAO GONCALO;1;
MONJOLUS;SAO GONCALO;1;
RECANTO DA ACACIAS;SAO GONCALO;6;
MEXICO;SAO GONCALO;1;
PRAIA DA CAIRA;SAO GONCALO;1;
BOM JESUS;SAO GONCALO;1;
JAQUEIRA;SAO GONCALO;1;
ANTONINA;SAO GONCALO;203;
TABAJARA;SAO GONCALO;1;
JOKEY CLUBE;SAO GONCALO;1827;
COREIA;SAO GONCALO;2;
MUTUAGUACU;SAO GONCALO;577;
ALMEINDA;SAO GONCALO;1;
PARAISO PATRONATO;SAO GONCALO;1287;
MUTUAPIRA;SAO GONCALO;1011;
GUTINDIBA;SAO GONCALO;1;
MONTE FORMOSO;SAO GONCALO;3;
TRIBBO;SAO GONCALO;3;
MULTUAPIRA;SAO GONCALO;1;
BICHINHO;SAO GONCALO;1;
PORTO DO ROSA;SAO GONCALO;1870;
MUNDEL;SAO GONCALO;5;
BONJOLIS;SAO GONCALO;1;
MANILHA;SAO GONCALO;1;
CHICO MENDES;SAO GONCALO;1;
ITAITINDIBA;SAO GONCALO;2;
COLUBAMDE;SAO GONCALO;3;
RAMOS;SAO GONCALO;1;
SAJGUEIRO;SAO GONCALO;1;
ENGENHOCA;SAO GONCALO;3;
SIZABEL;SAO GONCALO;14;
IMBOACU;SAO GONCALO;1;
ALMERIDA;SAO GONCALO;1;
CENTRO;SAO GONCALO;729;
JARDIM CATARINA;SAO GONCALO;3608;
COLUMBANDE;SAO GONCALO;37;
PONTAL;SAO GONCALO;2;
LINDO PARQUE;SAO GONCALO;461;
ROCHA;SAO GONCALO;1121;
MUAPIRA;SAO GONCALO;1;
PIPA;SAO GONCALO;1;
RIO DE JANEIRON CIDADE;SAO GONCALO;1;
PACIENCIA;SAO GONCALO;5;
ITITIOCA;SAO GONCALO;1;
COLUMBADE;SAO GONCALO;3;
PORTO VELHO;SAO GONCALO;599;
JARDIM ALCANTARA;SAO GONCALO;18;
CAMARAO;SAO GONCALO;53;
VISTA ALEGRE;SAO GONCALO;790;
ILHA DE JURUBAIBA;SAO GONCALO;1;
GAXINDIBA;SAO GONCALO;1;
DONIETA;SAO GONCALO;1;
MARIA RITA;SAO GONCALO;1;
DANON;SAO GONCALO;1;
AMENDOEIRAS;SAO GONCALO;699;
PARQUE SAO SEBASTIAO;SAO GONCALO;43;
VILA LAJE;SAO GONCALO;26;
SETE PONTES;SAO GONCALO;1222;
COLUNBANDE;SAO GONCALO;1;
MONJOLOS;SAO GONCALO;71;
ANTUNINA;SAO GONCALO;1;
COIO;SAO GONCALO;1;
METROPOLE;SAO GONCALO;1;
CERAMICA;SAO GONCALO;11;
ZUMBI;SAO GONCALO;45;
BOM RETIRO;SAO GONCALO;51;
CALIFORNIA;SAO GONCALO;5;
PRACA  ALMERINDA;SAO GONCALO;1;
ARSENAL;SAO GONCALO;699;
APOLO TREZE;SAO GONCALO;7;
FONSECA;SAO GONCALO;5;
ANAIA PEQUENO;SAO GONCALO;109;
MARANBAIA;SAO GONCALO;3;
JOQUEI;SAO GONCALO;53;
GUAXIMDIBA;SAO GONCALO;2;
CAMPO DO ALIANCA;SAO GONCALO;1;
GRADIM;SAO GONCALO;988;
CHUMBADA;SAO GONCALO;2;
NEVES;SAO GONCALO;1456;
GRADIN;SAO GONCALO;7;
COSTA;SAO GONCALO;1;
NOVO MEXICO;SAO GONCALO;582;
VILA LAGE;SAO GONCALO;908;
LODIAL;SAO GONCALO;1;
ENGENHO ROCADO;SAO GONCALO;36;
MANJOLOS;SAO GONCALO;1;
JURUMENHA;SAO GONCALO;2;
BOASSU;SAO GONCALO;7;
QUAXINDIBA;SAO GONCALO;2;
SANTA LUZIA;SAO GONCALO;945;
MUTONGO;SAO GONCALO;1;
ROCINHA;SAO GONCALO;1;
GRAXINDIBA;SAO GONCALO;1;
SARACURUNA;SAO GONCALO;2;
IEDA;SAO GONCALO;4;
GUAXINDIBA;SAO GONCALO;1390;
BARRETO;SAO GONCALO;548;
RAUL VEIGA;SAO GONCALO;352;
PALHA SECA;SAO GONCALO;4;
ALCANTARA;SAO GONCALO;1035;
CAMPO  NOVO;SAO GONCALO;37;
COVANCA;SAO GONCALO;204;
COELHO;SAO GONCALO;1445;
BANDEIRANTE;SAO GONCALO;2;
SANTA IZABEL /PARADA SAO JORGE;SAO GONCALO;2;
APOLO TRES;SAO GONCALO;9;
BARRAO;SAO GONCALO;1;
BANDEIRANTES;SAO GONCALO;6;
PENDOTIBA;SAO GONCALO;1;
MUTONDO;SAO GONCALO;567;
SACRANENTO;SAO GONCALO;1;
CRUZEIRO DO SUL;SAO GONCALO;5;
NOVA CIDADE;SAO GONCALO;768;
SAO FELIX;GUARACIABA DO NORTE;1;
VARZEA DO GILO;GUARACIABA DO NORTE;1;
BOA VISTA;VOLTA REDONDA;2;
VAJAO PINHEIRAL;VOLTA REDONDA;1;
LARANJAL;VOLTA REDONDA;4;
AEROCLUBE;VOLTA REDONDA;5;
VILA;VOLTA REDONDA;2;
ATERRADO;VOLTA REDONDA;21;
DIVINEIA;VOLTA REDONDA;1;
CALIFORNIA;VOLTA REDONDA;2;
SIDERLANDIA;VOLTA REDONDA;313;
TRES POSSES;VOLTA REDONDA;1;
SANTO AGOSTINHO;VOLTA REDONDA;14;
SANTA RITA DO ZARUR;VOLTA REDONDA;8;
ACUDE DOIS;VOLTA REDONDA;8;
TRES POCOS;VOLTA REDONDA;6;
BELVEDERE;VOLTA REDONDA;1;
CASA DE PEDRA;VOLTA REDONDA;1;
VOLDAC;VOLTA REDONDA;2;
FATIMA;VOLTA REDONDA;1;
DIVISA DOIS;VOLTA REDONDA;1;
ROMA;VOLTA REDONDA;1;
BRASILANDIA;VOLTA REDONDA;5;
FAZENDINHA;VOLTA REDONDA;1;
RETIRO;VOLTA REDONDA;25;
EUCALIPTAL;VOLTA REDONDA;9;
VOLTA GRANDE;VOLTA REDONDA;4;
SAO LUCAS;VOLTA REDONDA;6;
VILA AMERICANA;VOLTA REDONDA;10;
BELMONTE;VOLTA REDONDA;5;
CENTRO;VOLTA REDONDA;10;
PAVUNA;VOLTA REDONDA;1;
SANTA CRUZ;VOLTA REDONDA;12;
AGUA LIMPA;VOLTA REDONDA;13;
VILA BRASILIA;VOLTA REDONDA;10;
MINERLANDIA;VOLTA REDONDA;2;
RUSTICO;VOLTA REDONDA;1;
CIDERLANDIA;VOLTA REDONDA;5;
SANTA INES;VOLTA REDONDA;3;
CIBERLANDIA;VOLTA REDONDA;3;
NOVA PRIMAVERA;VOLTA REDONDA;10;
SESSENTA;VOLTA REDONDA;4;
CONFORTO;VOLTA REDONDA;4;
PARQUE AMAZONIA;GOIANIA;1;
BAIXA GRANDE;ARAPIRACA;1;
CENTRO;ARAPIRACA;1;
PONTE ALTA;CARANGOLA;1;
CENTRO;CARANGOLA;2;
NOVO;GUARABIRA;2;
CORDEIRO;GUARABIRA;1;
SAO FELIX;SANTO ANTONIO DE PADUA;1;
MONTE ALEGRE;SANTO ANTONIO DE PADUA;1;
FERREIRA;SANTO ANTONIO DE PADUA;1;
AEROPORTO;SANTO ANTONIO DE PADUA;1;
PARAOQUENA;SANTO ANTONIO DE PADUA;1;
DEMETRO;SANTO ANTONIO DE PADUA;1;
ARRAIALZINHO;SANTO ANTONIO DE PADUA;1;
SAO PEDRO DE ALCANTARA;SANTO ANTONIO DE PADUA;1;
COPAPA;SANTO ANTONIO DE PADUA;1;
MANGUEIRAO;SANTO ANTONIO DE PADUA;1;
CENTRO;SANTO ANTONIO DE PADUA;11;
CIDADE NOVA;SANTO ANTONIO DE PADUA;3;
PEREIRA;SANTO ANTONIO DE PADUA;1;
FAROL;SANTO ANTONIO DE PADUA;2;
GABRY;SANTO ANTONIO DE PADUA;1;
VINHANTEIRO;SANTO ANTONIO DE PADUA;1;
GABRI;SANTO ANTONIO DE PADUA;3;
CENTRO;SANTA MARIA MADALENA;13;
LEBLON;SANTA MARIA MADALENA;1;
ANCHIETA;SANTA MARIA MADALENA;1;
CENTRO;SAO JOAO DO CARIRI;1;
PINHEIROS;SAO JOSE DOS CAMPOS;1;
CENTRO;MONTANHAS;1;
PATITIBA;PARATI;5;
COUTE;PARATI;1;
ILHAS DAS COBRAS;PARATI;49;
TARITUBA;PARATI;1;
CONDADO;PARATI;2;
RIBEIRINHA;PARATI;1;
PORTAL;PARATI;1;
VARZEA CORUMBE;PARATI;2;
RIBEIRINHO;PARATI;1;
SAO GONCALO;PARATI;3;
PARQUE MANGUEIRA;PARATI;1;
CAMBORE;PARATI;2;
CHACARA;PARATI;8;
PARATI-CUNHA;PARATI;1;
CABORE;PARATI;1;
PENHA;PARATI;2;
INDEPENDENCIA;PARATI;5;
CORISCAO;PARATI;1;
PONTAL;PARATI;2;
PRAIA POUSO DA CAJAIBA;PARATI;1;
RIO DO NERO;PARATI;1;
JABAQUARA;PARATI;4;
CORUMBE;PARATI;1;
BARRA GRANDE;PARATI;3;
AREAL DE TAQUARI;PARATI;2;
BARRA DO CORUMBE;PARATI;2;
ILHA DAS COBRTAS;PARATI;1;
MANGUEIRA;PARATI;12;
CENTRO;PARATI;20;
PANTANAL;PARATI;3;
PEREQUE;PARATI;3;
CENTRO HISTORICO;PARATI;2;
TAQUARI;PARATI;1;
SERTAO DO TAQUARI;PARATI;1;
PATRIMONIO;PARATI;3;
PRAINHA;PARATI;1;
PORTAL DAS ARTES;PARATI;1;
CAQUARI;PARATI;1;
TRINDADE;PARATI;9;
MAMBUCABA;PARATI;3;
FABRICA;RECIFE;1;
CENTRO;OLINDA;1;
CENTRO;LONDRINA;1;
FORQUILINHAS;SAO JOSE DO CERRITO;2;
CENTRO;IGUABA;3;
CIDADE INDUSTRIAL;IGUABA;1;
IGUABA GRANDE;IGUABA;1;
ITAIPU;IGUABA;1;
IGUABINHA;IGUABA;1;
IGUABA PEQUENA;IGUABA;1;
DOUTOR EDUARDO;IGARATINGA;1;
PIRAPITINGA;GUARANI;1;
SERRARIA;ANTONINA DO NORTE;1;
MAMANGUAPI;JACARAU;1;
CENTRO;REMIGIO;2;
CAMPO DO COELHO;NOVA FRIBURGO;2;
AMPARO;NOVA FRIBURGO;5;
CATARCIONE;NOVA FRIBURGO;3;
CALEDONEA;NOVA FRIBURGO;1;
MARILEIRA;NOVA FRIBURGO;1;
LUMIA;NOVA FRIBURGO;1;
MURI;NOVA FRIBURGO;3;
MURY;NOVA FRIBURGO;2;
JARDILANDIA;NOVA FRIBURGO;1;
RIOGRANDINA;NOVA FRIBURGO;12;
OLARIA;NOVA FRIBURGO;43;
POSSE;NOVA FRIBURGO;1;
PEDRA BRANCA;NOVA FRIBURGO;1;
CONQUISTA;NOVA FRIBURGO;2;
LAGOA SECA;NOVA FRIBURGO;4;
BANQUETE;NOVA FRIBURGO;2;
PARAISO;NOVA FRIBURGO;1;
GRANJA ESPINELE;NOVA FRIBURGO;1;
COSELHEIRO PAULINO;NOVA FRIBURGO;24;
CASCATINHA;NOVA FRIBURGO;3;
PARQUE DAS FLORES;NOVA FRIBURGO;2;
BELA VISTA;NOVA FRIBURGO;3;
SAO PEDRO DA SERRA;NOVA FRIBURGO;10;
ALTO;NOVA FRIBURGO;1;
GRACAS;NOVA FRIBURGO;1;
CDOR SOARES;NOVA FRIBURGO;2;
CORDOEIRA;NOVA FRIBURGO;7;
CORDOEIRO;NOVA FRIBURGO;1;
CANTA GALO;NOVA FRIBURGO;1;
SANTIAGO;NOVA FRIBURGO;2;
PAPUCAIA;NOVA FRIBURGO;1;
PERISSE;NOVA FRIBURGO;3;
CABUCU;NOVA FRIBURGO;1;
DEODORO DE OLIVEIRA;NOVA FRIBURGO;1;
TINGUAZINHO;NOVA FRIBURGO;1;
CARMARI;NOVA FRIBURGO;1;
BELMONTE;NOVA FRIBURGO;1;
CENTRO;NOVA FRIBURGO;27;
GRANDE ESPINELLE;NOVA FRIBURGO;1;
IPIRANGA;NOVA FRIBURGO;1;
SUSPIRO;NOVA FRIBURGO;1;
STUCKY;NOVA FRIBURGO;1;
CORDEIRO;NOVA FRIBURGO;1;
GRANJA SPINELLI;NOVA FRIBURGO;1;
TRES PICOS;NOVA FRIBURGO;1;
CALEDONIA;NOVA FRIBURGO;1;
GLORIA;NOVA FRIBURGO;1;
LUMIAR;NOVA FRIBURGO;18;
VARGINHA;NOVA FRIBURGO;2;
JARDINLANDIA;NOVA FRIBURGO;6;
CALIFORNIA;NOVA FRIBURGO;2;
NOVA SUICA;NOVA FRIBURGO;2;
BOCAINA DOS BLAUDIT;NOVA FRIBURGO;1;
VILAGE;NOVA FRIBURGO;1;
YPU;NOVA FRIBURGO;2;
FLORESTA;NOVA FRIBURGO;1;
CONEGO;NOVA FRIBURGO;9;
PRADO;NOVA FRIBURGO;1;
YOU;NOVA FRIBURGO;1;
RIVO TORTO;NOVA FRIBURGO;1;
BRAUNES;NOVA FRIBURGO;2;
ESPLANADA;CASTELO;1;
ILHA DO GOVERNADOR;RIO DAS FLORES;1;
ELISABETE;RIO DAS FLORES;1;
GUARATIBA;RIO DAS FLORES;1;
TABOAS;RIO DAS FLORES;3;
MANGUEIRA;RIO DAS FLORES;1;
CENTRO;RIO DAS FLORES;3;
MARACANA;RIO DAS FLORES;1;
CACHAMBI;RIO DAS FLORES;1;
CORDOVIL;RIO DAS FLORES;1;
LEBLON;RIO DAS FLORES;1;
ANCORA;RIO DAS FLORES;1;
SANTA ROSA;RIO DAS FLORES;3;
INAMAR;DIADEMA;1;
VARZEA ALEGRE;GUAPIMIRIM;37;
ESTATOS;GUAPIMIRIM;1;
VALE DAS PEDRINHAS;GUAPIMIRIM;67;
ORINDI;GUAPIMIRIM;7;
SEGREDO;GUAPIMIRIM;10;
RETA;GUAPIMIRIM;8;
CARAMURU;GUAPIMIRIM;1;
POCO DA LAJE;GUAPIMIRIM;1;
ICONHA;GUAPIMIRIM;7;
CITROLANDIA;GUAPIMIRIM;47;
PETROLANDIA;GUAPIMIRIM;1;
TEIXEIRA;GUAPIMIRIM;1;
GUAPIMIRIM;GUAPIMIRIM;4;
SEGREDOS;GUAPIMIRIM;1;
VILA RECREIO;GUAPIMIRIM;13;
PARADA IDEAL;GUAPIMIRIM;22;
PARQUE FREICHAL;GUAPIMIRIM;1;
PARQUE FLECHAL;GUAPIMIRIM;3;
CUTIA;GUAPIMIRIM;1;
PARAISO;GUAPIMIRIM;9;
PARADA MODELO;GUAPIMIRIM;85;
MONTE OLIVETE;GUAPIMIRIM;2;
SIDROLANDIA;GUAPIMIRIM;1;
QUINTA ROSANGELA;GUAPIMIRIM;9;
CANTAGALO;GUAPIMIRIM;1;
BARREIRA;GUAPIMIRIM;10;
VALE DAS PEDINHAS;GUAPIMIRIM;1;
SAPE;GUAPIMIRIM;6;
PRACA NITEROI;GUAPIMIRIM;4;
VILA OLIMPICA;GUAPIMIRIM;7;
CAPIM;GUAPIMIRIM;1;
PARADA MOEDELO;GUAPIMIRIM;1;
SACO;GUAPIMIRIM;2;
INCONHA;GUAPIMIRIM;4;
PICONHA;GUAPIMIRIM;1;
CITROLONDIA;GUAPIMIRIM;1;
QUINTA MARIANA;GUAPIMIRIM;9;
BEIRA DE PISTA;GUAPIMIRIM;1;
VILA OLIMPIA;GUAPIMIRIM;71;
FLEIXAL;GUAPIMIRIM;2;
ITAMONTE;GUAPIMIRIM;1;
CENTRO;GUAPIMIRIM;96;
CORUJAS;GUAPIMIRIM;1;
JARDIM GUAPIMIRIM;GUAPIMIRIM;16;
GUAPIMIRM;GUAPIMIRIM;3;
CINTROLANDIA;GUAPIMIRIM;1;
JEQUETIBA;GUAPIMIRIM;1;
SANTO AMARO;GUAPIMIRIM;1;
BANANAL;GUAPIMIRIM;28;
JEQUITIBA;GUAPIMIRIM;9;
CENECA FINA;GUAPIMIRIM;39;
PAIOL;GUAPIMIRIM;16;
CITROLANDA;GUAPIMIRIM;1;
CANECA CHINA;GUAPIMIRIM;1;
CACHOEIRA DE MACACU;GUAPIMIRIM;1;
ONZE;GUAPIMIRIM;1;
VALE DO JEQUITIBA;GUAPIMIRIM;20;
CICROLANDIA;GUAPIMIRIM;1;
ENCONHA;GUAPIMIRIM;1;
PEDRINHAS;GUAPIMIRIM;1;
SANTO ANTONIO;GUAPIMIRIM;2;
CORDOVIL;GUAPIMIRIM;3;
LIMOEIRO;GUAPIMIRIM;21;
STATUS;GUAPIMIRIM;2;
LOMOEIRO;GUAPIMIRIM;1;
CANECASINA;GUAPIMIRIM;1;
GUAXINDIBA;GUAPIMIRIM;1;
PARQUE SANTA EUGENIA;GUAPIMIRIM;9;
JARDIM SANTO AMARO;GUAPIMIRIM;9;
IMBARIE;GUAPIMIRIM;1;
RETA DE GUAPI;GUAPIMIRIM;2;
PARQUE FREIXAL;GUAPIMIRIM;4;
BONSUCESSO;SAQUAREMA;13;
MOMBACA;SAQUAREMA;1;
CHATUBA;SAQUAREMA;1;
JARDIM PITANGA;SAQUAREMA;4;
RIO DA AREIA;SAQUAREMA;3;
JACOME;SAQUAREMA;1;
COQUEIRAO;SAQUAREMA;4;
PROTO ROCA;SAQUAREMA;32;
MATO GROSSO;SAQUAREMA;1;
GUARANI;SAQUAREMA;1;
PORTO DA ROCA;SAQUAREMA;1;
RECREIO DE NAZARE;SAQUAREMA;1;
PORTO NOVO;SAQUAREMA;1;
BOA ESPERANCA;SAQUAREMA;2;
ITAUNA;SAQUAREMA;71;
BACAXA;SAQUAREMA;80;
LITORANEA;SAQUAREMA;2;
BOQUERAO;SAQUAREMA;1;
OSPICIO;SAQUAREMA;1;
JOCONE;SAQUAREMA;1;
BICUIBA;SAQUAREMA;5;
ALVORADA;SAQUAREMA;5;
VILATUR;SAQUAREMA;12;
RAIA;SAQUAREMA;3;
PIABETA;SAQUAREMA;1;
BACACHA;SAQUAREMA;2;
SAMPAIO CORREIA;SAQUAREMA;13;
RIO SECO;SAQUAREMA;1;
BOQUIERAO;SAQUAREMA;1;
CENTRO;SAQUAREMA;44;
NOVA CALIFORNIA;SAQUAREMA;1;
JACONE;SAQUAREMA;96;
RIO MOLE;SAQUAREMA;1;
AGUA BRANCA;SAQUAREMA;2;
LATINO MELO;SAQUAREMA;2;
TREVO DE AGUA BRANCA;SAQUAREMA;1;
GUARABA;SAQUAREMA;1;
SAMPAIO CORREA;SAQUAREMA;3;
BARRA NOVA;SAQUAREMA;43;
AREAL;SAQUAREMA;7;
BARREIRA;SAQUAREMA;2;
BOQUEIRAO;SAQUAREMA;66;
PORTO DA  ROCHA;SAQUAREMA;3;
JARDIM IPITANGAS;SAQUAREMA;5;
PRAIA DA VILA;SAQUAREMA;3;
IPITANGAS;SAQUAREMA;2;
PALMITAL;SAQUAREMA;2;
ENGENHO GRANDE;SAQUAREMA;1;
PORTO DA ROSA;SAQUAREMA;12;
IBUNA;SAQUAREMA;2;
GRAVATA;SAQUAREMA;31;
CENTRO;SOMBRIO;1;
JUZA FONSECA;DIVINOPOLIS;1;
CANTAO;ALEM PARAIBA;1;
SAPUCAIA;ALEM PARAIBA;1;
SAO JOSE;ALEM PARAIBA;3;
CENTRO;RIO NEGRO;1;
ANIL;MAGE;2;
PEABETA;MAGE;1;
VARZEA ALEGRE;MAGE;9;
JORORO;MAGE;24;
CACHOEIRINHA;MAGE;6;
PIEDADE;MAGE;65;
VALE DAS PEDRINHAS;MAGE;15;
BARAO DO IRIRI;MAGE;17;
JARDIM SANTO ANTONIO;MAGE;5;
PARQUE ITINGA;MAGE;2;
NOVA MARILA;MAGE;1;
BREXEIRA;MAGE;2;
MIOMIRIM;MAGE;4;
PRAIA DE MAUA;MAGE;153;
CAVALHEIROS;MAGE;1;
SANTO ALEIXO;MAGE;195;
COMENDADOR;MAGE;3;
PRAIA DA COROA;MAGE;2;
ILHA;MAGE;2;
SORORO;MAGE;1;
NAZARENO;MAGE;2;
VILA INCA;MAGE;23;
ANIL MAUA;MAGE;1;
CHATUBA;MAGE;1;
FLECHEIRAS;MAGE;23;
NOVA MARIA;MAGE;2;
VILA CARVALHO;MAGE;4;
RECANTO DA BOA VISTA;MAGE;2;
PABETA;MAGE;1;
PICO;MAGE;4;
HUMAIPA;MAGE;1;
CIDADE CINEMA;MAGE;1;
LEQUE AZUL;MAGE;6;
TAQUARAL;MAGE;8;
SAO LUCAS;MAGE;3;
TIRIRI;MAGE;2;
NOVA MARILHA;MAGE;16;
PAUAPIQUE;MAGE;4;
LAGOINHA;MAGE;2;
FIGUEIRA;MAGE;50;
PIABETA;MAGE;1329;
BARRO DO SACO;MAGE;2;
ANDORINHAS;MAGE;20;
FLEXEIRAS;MAGE;38;
NOVA  MARILIA;MAGE;46;
CITROLANDIA;MAGE;41;
LUZITANIA;MAGE;1;
LAGOA;MAGE;281;
VILAR SANTO ALEIXO;MAGE;1;
BONEVILE;MAGE;1;
SEITAL;MAGE;1;
ALEIXO;MAGE;1;
FRECHEIRA;MAGE;6;
VILA DA LIBERDADE;MAGE;28;
MARIA CONHA;MAGE;2;
MAUROEMARCIA;MAGE;5;
GUAPIMIRIM;MAGE;6;
OLARIA;MAGE;19;
LAGOAS;MAGE;1;
JAPONESA;MAGE;3;
SACO FIGUEIRA;MAGE;113;
PRAIA DO ANIL;MAGE;10;
CANAL;MAGE;59;
PARQUE AZUL;MAGE;11;
CMPINHO;MAGE;1;
NOVA ORLEANS;MAGE;1;
MARIA COMGA;MAGE;1;
FREIXEIRA;MAGE;5;
JARDIM MARINGA;MAGE;9;
CIDRELANDIA;MAGE;1;
MARINGA;MAGE;10;
CARVALHO;MAGE;1;
RIO DOS CAVALEIROS;MAGE;1;
PIEABETA;MAGE;1;
CRUZEIRO;MAGE;11;
RAIZ DA SERRA;MAGE;21;
MARIA CONGA;MAGE;32;
CACHUEIRINHA;MAGE;1;
RIO DO OURO;MAGE;10;
JARDIM DA PAZ;MAGE;11;
FLECHEIROS;MAGE;1;
MAURI MATOS;MAGE;1;
ITINGA;MAGE;5;
JARDIM ESMERALDA;MAGE;47;
MEIO DA SERRA;MAGE;4;
PARTIDO;MAGE;5;
